date,open,high,low,close,volume
2010-01-04,21.14,22.48,21.14,22.41,142420
2010-01-05,23.25,23.25,22.34,22.55,200100
2010-01-06,21.84,22.48,21.7,22.48,203390
2010-01-07,22.2,22.41,21.84,22.13,101420
2010-01-08,22.13,22.76,22.13,22.2,257750
2010-01-11,22.48,22.48,21.63,22.2,99820
2010-01-12,22.2,22.27,21.77,21.77,152270
2010-01-13,22.48,22.83,22.2,22.83,603080
2010-01-14,23.89,23.96,23.61,23.96,303360
2010-01-15,23.96,24.66,23.96,24.66,278200
2010-01-18,24.66,24.66,23.46,23.46,112160
2010-01-19,23.96,24.45,23.61,24.45,282220
2010-01-20,24.66,25.01,24.45,24.66,305620
2010-01-21,23.96,24.66,23.96,24.17,211050
2010-01-22,24.17,24.45,23.39,24.31,207660
2010-01-25,24.52,24.59,24.31,24.59,171620
2010-01-26,25.01,25.01,24.73,25.01,142040
2010-01-27,25.01,25.01,24.31,24.31,150780
2010-01-28,24.31,24.8,24.31,24.8,190950
2010-01-29,24.8,25.01,24.73,25.01,149100
2010-02-01,25.37,25.37,25.16,25.37,155650
2010-02-02,25.37,25.65,25.16,25.65,102760
2010-02-03,25.86,26.78,25.86,26.78,264120
2010-02-04,26.78,27.06,26.78,26.92,175140
2010-02-05,26.92,26.92,26.35,26.92,204660
2010-02-08,26.78,26.92,26.71,26.92,108030
2010-02-09,26.49,26.85,26.49,26.78,216700
2010-02-10,27.13,27.83,27.06,27.83,178290
2010-02-11,28.19,29.17,27.83,29.17,325360
2010-02-12,30.3,30.58,29.81,30.58,388970
2010-02-22,31.85,32.06,31.71,31.85,368570
2010-02-23,31.36,31.36,30.3,30.3,395140
2010-02-24,29.95,29.95,28.82,28.82,495890
2010-02-25,28.89,30.23,28.89,30.23,328580
2010-02-26,30.23,31.71,29.74,31.71,326410
2010-03-01,32.06,32.13,31.71,32.06,302320
2010-03-02,31,31.36,30.51,30.51,169020
2010-03-03,30.51,31,29.88,30.23,217660
2010-03-04,30.23,30.65,30.09,30.23,135390
2010-03-05,30.23,30.37,29.59,30.23,99880
2010-03-08,30.3,30.65,30.23,30.65,169640
2010-03-09,30.86,32.06,30.65,32.06,363710
2010-03-10,32.06,32.06,31,31,184070
2010-03-11,30.23,31,29.59,29.59,107650
2010-03-12,30.65,30.86,30.02,30.86,184140
2010-03-15,31.36,31.57,31.22,31.36,168690
2010-03-16,30.02,31.29,30.02,30.02,290120
2010-03-17,30.3,30.58,30.02,30.3,683190
2010-03-18,30.3,30.51,30.3,30.3,626930
2010-03-19,29.24,30.58,29.24,29.24,531800
2010-03-22,29.59,30.3,29.59,30.3,125480
2010-03-23,30.3,30.58,30.3,30.3,149440
2010-03-24,30.65,30.65,30.37,30.58,157640
2010-03-25,30.02,30.3,29.66,30.02,82870
2010-03-26,30.37,31,30.3,31,315190
2010-03-29,30.09,31.14,30.09,30.09,53920
2010-03-30,30.58,30.58,29.59,30.3,236420
2010-03-31,30.3,30.51,29.95,30.02,145520
2010-04-01,30.02,30.3,30.02,30.3,53240
2010-04-02,29.66,30.3,29.66,30.3,82900
2010-04-05,29.95,30.51,29.95,30.37,55070
2010-04-06,30.65,30.65,30.58,30.58,116950
2010-04-07,30.58,30.58,30.09,30.51,94020
2010-04-08,30.51,30.51,29.81,30.51,71980
2010-04-09,30.51,30.51,30.3,30.51,104430
2010-04-12,30.65,31,30.51,31,174380
2010-04-13,31,31,30.65,30.86,38520
2010-04-14,30.72,31,30.72,30.72,49880
2010-04-15,30.72,30.86,30.72,30.86,64540
2010-04-16,30.86,31.64,30.72,31.64,248730
2010-04-19,31,31.14,30.72,31,244310
2010-04-20,31,31,30.65,30.65,56740
2010-04-21,30.72,31.22,30.72,31.22,194610
2010-04-22,31,31.85,31,31.71,163850
2010-04-26,31.85,31.92,31.57,31.85,137290
2010-04-27,32.41,33.12,31.92,33.12,338450
2010-04-28,33.4,34.74,33.4,34.74,341920
2010-04-29,34.53,35.09,34.25,34.53,180160
2010-05-04,35.23,35.23,34.53,34.53,232660
2010-05-05,34.53,34.53,34.32,34.46,153600
2010-05-06,34.17,34.39,33.82,34.17,209870
2010-05-07,34.17,34.17,33.47,34.17,310500
2010-05-10,34.53,34.53,33.82,34.17,354270
2010-05-11,34.53,34.53,34.25,34.32,110500
2010-05-12,34.32,34.32,34.1,34.1,330380
2010-05-13,34.1,35.58,34.03,35.58,264070
2010-05-14,36.38,36.38,36.02,36.02,210090
2010-05-17,36.02,36.02,34.36,36.02,108900
2010-05-18,36.02,36.02,34.29,34.94,95400
2010-05-19,34.94,35.01,34.94,34.94,212470
2010-05-20,33.21,34.94,33.21,34.94,36980
2010-05-21,33.21,34.14,33.21,33.21,87360
2010-05-24,31.55,33.21,31.55,31.55,61110
2010-05-25,31.55,31.98,30.61,31.91,15110
2010-05-26,32.05,32.05,30.97,31.69,32900
2010-05-27,30.11,32.78,30.11,32.63,50430
2010-05-28,33.06,34.22,32.63,34.22,109370
2010-05-31,33.28,34.58,33.28,33.71,16120
2010-06-01,33.71,33.86,32.34,33.71,6900
2010-06-02,33.71,33.71,33.14,33.71,20210
2010-06-03,33.14,33.71,32.56,33.14,15680
2010-06-04,33.14,33.35,33.14,33.14,23720
2010-06-07,31.69,33.14,31.69,32.41,21900
2010-06-08,32.41,33.35,32.41,33.35,103760
2010-06-09,32.41,33.35,32.41,33.14,15890
2010-06-10,33.14,33.21,31.84,33.14,65560
2010-06-11,33.28,33.28,33.14,33.21,18370
2010-06-14,33.21,33.35,33.21,33.21,13290
2010-06-15,33.21,33.21,32.99,33.06,199920
2010-06-16,33.06,33.78,31.48,31.48,189160
2010-06-17,31.69,32.92,31.69,31.69,131950
2010-06-18,31.69,32.34,30.11,30.11,349500
2010-06-21,30.83,31.55,30.61,31.55,39540
2010-06-22,31.84,32.41,31.62,31.62,235310
2010-06-23,31.69,31.98,31.62,31.62,155440
2010-06-24,31.05,31.62,31.05,31.41,170430
2010-06-25,31.05,31.62,31.05,31.62,120580
2010-06-28,31.69,32.78,31.69,32.78,98370
2010-06-29,32.78,33.14,32.78,33.14,75690
2010-06-30,31.77,33.14,31.77,33.14,28250
2010-07-01,32.41,33.14,32.41,32.78,23800
2010-07-02,32.78,32.78,32.49,32.49,13780
2010-07-05,31.98,32.78,30.97,31.98,17640
2010-07-06,31.98,32.41,31.98,32.13,102340
2010-07-07,32.13,32.13,31.98,32.05,60770
2010-07-08,31.98,32.41,31.98,31.98,43150
2010-07-09,31.98,33.06,31.98,32.99,119150
2010-07-12,32.99,32.99,31.77,31.77,18560
2010-07-13,32.41,33.14,32.05,33.14,81570
2010-07-14,33.14,33.5,33.06,33.21,202430
2010-07-15,33.21,33.21,32.78,32.99,39950
2010-07-16,32.85,33.5,32.85,33.5,49970
2010-07-19,32.41,33.35,32.41,33.35,146580
2010-07-20,33.21,33.86,33.14,33.5,172770
2010-07-21,33.5,33.64,33.14,33.5,429670
2010-07-22,33.5,33.5,32.41,32.41,1060
2010-07-23,33.35,33.42,32.85,33.35,78820
2010-07-26,33.35,33.42,33.14,33.35,192030
2010-07-27,33.42,33.5,33.35,33.5,255710
2010-07-28,33.5,33.57,33.14,33.5,185910
2010-07-29,32.49,33.57,32.49,33.5,125330
2010-07-30,33.5,33.86,33.42,33.5,124640
2010-08-02,33.5,33.5,33.35,33.5,132430
2010-08-03,32.99,33.5,32.99,33.42,170130
2010-08-04,33.42,33.42,33.28,33.35,162000
2010-08-05,33.5,33.5,33.35,33.35,209010
2010-08-06,33.42,33.42,33.28,33.28,174840
2010-08-09,34.22,34.22,33.14,33.14,128190
2010-08-10,32.78,33.14,32.78,32.78,13090
2010-08-11,32.78,33.42,32.78,33.06,67490
2010-08-12,32.78,33.14,32.78,32.78,39380
2010-08-13,31.69,32.78,31.69,32.41,4230
2010-08-16,32.41,33.14,32.41,32.41,8210
2010-08-17,32.41,33.14,32.41,33.14,110750
2010-08-18,32.41,33.14,31.77,33.06,1600
2010-08-19,32.78,33.14,32.7,33.14,32880
2010-08-20,33.14,33.14,31.69,32.92,24480
2010-08-23,32.78,32.78,31.33,31.91,3140
2010-08-24,31.69,31.91,30.61,31.69,50300
2010-08-25,31.77,31.84,30.11,30.11,120430
2010-08-26,31.55,31.55,31.33,31.55,62000
2010-08-27,33.06,33.06,31.77,33.06,74620
2010-08-30,33.06,34.65,33.06,34.65,512450
2010-08-31,34.94,34.94,33.5,34.94,397350
2010-09-01,34.58,34.94,34.22,34.94,310390
2010-09-06,34.94,35.3,34.58,35.3,425670
2010-09-07,33.86,35.3,33.86,35.3,523000
2010-09-08,34.94,36.74,34.58,36.02,286700
2010-09-09,36.02,36.02,35.66,36.02,131130
2010-09-10,35.66,35.66,34.22,34.22,138940
2010-09-13,32.78,34.22,32.78,34.22,108290
2010-09-14,34.94,35.08,33.5,33.5,202150
2010-09-15,33.5,35.01,33.5,34.86,256410
2010-09-16,34.94,35.3,34.94,35.15,634270
2010-09-17,35.22,35.22,35.15,35.22,359180
2010-09-20,36.02,36.02,33.64,35.73,720680
2010-09-21,35.87,35.94,35.3,35.94,1090540
2010-09-22,35.58,36.02,35.58,36.02,245870
2010-09-23,36.02,36.38,35.66,36.38,120890
2010-09-24,35.01,36.74,35.01,36.02,109660
2010-09-27,37.56,37.79,37.48,37.79,32940
2010-09-28,38.32,39.47,38.32,39.47,186590
2010-09-29,41.39,41.39,39.86,40.62,85760
2010-09-30,40.62,42.54,39.47,42.54,144180
2010-10-01,42.54,42.92,41.39,41.39,37160
2010-10-04,41.77,42.16,40.62,42.16,112600
2010-10-05,42.16,44.07,41.77,44.07,251380
2010-10-06,44.46,45.99,44.46,45.99,170330
2010-10-07,48.29,48.29,46.75,48.29,308750
2010-10-08,48.29,48.67,45.99,45.99,297820
2010-10-11,44.84,48.29,44.84,45.61,195370
2010-10-12,44.46,46.75,44.46,45.61,141520
2010-10-13,46.75,47.52,45.99,47.52,180290
2010-10-14,48.29,49.05,47.9,48.29,204150
2010-10-15,48.29,49.44,47.52,49.44,205210
2010-10-18,49.05,49.05,47.9,48.29,90390
2010-10-19,47.52,48.67,47.52,48.67,193490
2010-10-20,47.9,47.9,46.75,46.75,102450
2010-10-21,45.22,48.29,45.22,48.29,97400
2010-10-22,47.9,49.05,47.52,49.05,114200
2010-10-25,49.05,49.44,48.29,48.67,158270
2010-10-26,49.05,49.05,47.9,49.05,85790
2010-10-27,49.05,49.05,48.67,49.05,155350
2010-10-28,49.05,49.05,48.29,49.05,64750
2010-10-29,49.05,49.44,49.05,49.44,154780
2010-11-01,49.05,49.44,49.05,49.44,93170
2010-11-02,49.05,49.05,47.9,47.9,71230
2010-11-03,47.9,47.9,47.14,47.52,122430
2010-11-04,47.52,48.29,47.14,48.29,118310
2010-11-05,48.29,49.44,47.14,49.44,78310
2010-11-08,49.44,49.44,48.29,48.67,49730
2010-11-09,47.52,49.05,46.75,46.75,158110
2010-11-10,48.29,49.05,47.9,49.05,162500
2010-11-11,47.9,49.44,47.9,49.44,62370
2010-11-12,49.82,49.82,49.05,49.82,208120
2010-11-15,49.82,49.82,48.29,48.67,85130
2010-11-16,47.9,48.67,47.14,47.14,205740
2010-11-17,45.99,48.29,45.99,48.29,63570
2010-11-18,48.29,48.67,47.52,48.29,80710
2010-11-19,48.67,48.67,47.14,47.14,63030
2010-11-22,47.14,48.29,47.14,48.29,98340
2010-11-23,48.67,48.67,47.14,47.14,187930
2010-11-24,48.29,49.05,47.14,49.05,101640
2010-11-25,48.29,49.05,47.9,49.05,16090
2010-11-26,48.67,49.05,48.29,48.67,47710
2010-11-29,47.52,49.05,47.52,49.05,127140
2010-11-30,49.05,49.05,47.52,48.67,83060
2010-12-01,48.67,48.67,47.9,48.67,67560
2010-12-02,49.05,49.82,49.05,49.05,195280
2010-12-03,49.44,49.44,48.29,49.05,109310
2010-12-06,49.44,49.44,49.05,49.05,93510
2010-12-07,48.29,49.44,48.29,49.44,180180
2010-12-08,49.05,49.44,49.05,49.44,40460
2010-12-09,48.29,50.2,48.29,49.82,76730
2010-12-10,49.82,52.12,49.82,52.12,132120
2010-12-13,52.12,54.42,52.12,54.42,87100
2010-12-14,53.27,55.95,51.74,54.8,116480
2010-12-15,55.95,55.95,54.42,55.95,157840
2010-12-16,53.65,55.95,53.27,53.27,56790
2010-12-17,53.27,53.65,50.97,50.97,434580
2010-12-20,50.2,50.2,48.67,48.67,83350
2010-12-21,46.75,50.97,46.75,50.97,129720
2010-12-22,53.27,53.27,51.35,53.27,183870
2010-12-23,53.65,53.65,51.74,51.74,139910
2010-12-24,51.74,51.74,49.44,49.44,49170
2010-12-27,49.44,50.2,48.67,50.2,19140
2010-12-28,49.05,50.97,49.05,50.97,85270
2010-12-29,49.82,50.97,49.82,50.59,70990
2010-12-30,50.97,51.74,50.59,51.35,132700
2010-12-31,50.2,51.35,49.44,49.44,10410
2011-01-04,49.44,51.74,49.44,51.74,25120
2011-01-05,52.5,52.89,50.59,52.5,49450
2011-01-06,53.27,54.04,52.12,54.04,50560
2011-01-07,54.04,55.19,52.89,54.8,74350
2011-01-10,55.95,56.34,54.8,56.34,85160
2011-01-11,54.42,57.87,54.42,57.87,102300
2011-01-12,57.87,58.25,57.87,58.25,56830
2011-01-13,58.25,60.93,57.87,60.17,133770
2011-01-14,61.32,62.85,61.32,62.85,128020
2011-01-17,65.92,65.92,65.15,65.92,71850
2011-01-18,67.83,68.98,67.83,68.98,103130
2011-01-19,72.43,72.43,72.43,72.43,85720
2011-01-20,75.88,75.88,75.11,75.88,213910
2011-01-21,78.95,78.95,78.95,78.95,131780
2011-01-24,81.25,81.25,75.11,75.11,190440
2011-01-25,71.67,72.05,71.67,71.67,61450
2011-01-26,68.22,68.98,68.22,68.22,269800
2011-01-27,65.15,65.53,65.15,65.15,182060
2011-01-28,63.62,68.22,63.62,68.22,118450
2011-02-08,71.28,71.28,71.28,71.28,65300
2011-02-09,74.73,74.73,74.73,74.73,95650
2011-02-10,74.73,77.41,71.28,73.2,174800
2011-02-11,74.35,74.35,71.67,72.43,80170
2011-02-14,70.9,71.67,69.37,69.37,63870
2011-02-15,67.07,72.82,67.07,72.82,63320
2011-02-16,74.35,74.35,72.05,72.43,130300
2011-02-17,72.43,72.82,71.67,72.43,107310
