date,open,high,low,close,volume
2017-10-31,12.34,12.34,9.7,9.7,174200
2017-11-01,9.88,9.88,9.08,9.11,45175
2017-11-02,9.08,9.18,8.14,8.14,9391
2017-11-03,7.66,7.69,7.31,7.49,59994
2017-11-06,7.49,8.59,7.45,8.59,36843
2017-11-07,8.49,9.43,8.49,9.43,53412
2017-11-08,10.4,10.64,9.36,9.53,68856
2017-11-09,9.53,10.05,9.15,9.29,21640
2017-11-10,9.18,9.36,9.18,9.36,12410
2017-11-13,8.84,8.91,8.52,8.66,15901
2017-11-14,9.01,9.01,8.66,8.73,10819
2017-11-15,8.77,8.77,8.7,8.77,27000
2017-11-16,8.8,9.01,8.77,8.8,22200
2017-11-17,8.91,9.01,8.91,8.91,22210
2017-11-20,8.73,8.77,8.66,8.66,13900
2017-11-21,8.84,8.84,8.35,8.59,40610
2017-11-22,8.59,8.59,8.25,8.25,46510
2017-11-23,8.25,8.32,8.14,8.32,16586
2017-11-24,8.32,8.49,8.25,8.32,47916
2017-11-27,8.32,8.35,8.25,8.35,22606
2017-11-28,8.32,8.46,8.28,8.32,40850
2017-11-29,8.32,8.84,8.28,8.39,80331
2017-11-30,8.49,8.73,8.42,8.49,42700
2017-12-01,8.98,8.98,8.35,8.66,26320
2017-12-04,8.66,8.84,8.46,8.84,68529
2017-12-05,8.84,9.36,8.7,9.36,38913
2017-12-06,9.32,9.98,9.32,9.63,134624
2017-12-07,9.7,9.77,8.14,9.56,94611
2017-12-08,9.7,9.88,9.08,9.08,26070
2017-12-11,9.36,9.36,8.66,9.15,10236
2017-12-12,9.36,9.63,8.66,9.32,22924
2017-12-13,9.67,9.67,8.84,8.84,28068
2017-12-14,8.84,9.15,8.8,9.15,21900
2017-12-15,9.01,9.18,8.8,9.18,27966
2017-12-18,8.94,9.63,8.94,9.36,25100
2017-12-19,9.36,9.77,9.25,9.36,77143
2017-12-20,9.6,9.81,9.01,9.01,44400
2017-12-21,9.04,9.53,9.04,9.36,4450
2017-12-22,9.32,9.46,9.32,9.32,13823
2017-12-25,9.46,9.49,9.11,9.11,2556
2017-12-26,8.84,8.98,8.8,8.98,11255
2017-12-27,8.66,8.84,8.66,8.77,11222
2017-12-28,9.01,9.01,8.7,8.94,23800
2017-12-29,8.66,9.11,8.66,9.11,9000
2018-01-02,9.08,9.36,8.91,8.94,16660
2018-01-03,9.08,9.18,8.94,9.01,20836
2018-01-04,9.01,9.18,9.01,9.15,6600
2018-01-05,9.18,9.36,8.84,9.08,4235
2018-01-08,8.87,9.01,8.73,9.01,7600
2018-01-09,8.94,8.94,8.66,8.87,10143
2018-01-10,9.15,9.7,8.7,8.77,44600
2018-01-11,9.36,9.46,8.73,9.36,8300
2018-01-12,8.77,9.08,8.7,8.73,13400
2018-01-15,8.66,8.91,8.52,8.91,10700
2018-01-16,9.08,9.08,8.87,8.87,350
2018-01-17,8.98,8.98,8.56,8.87,5733
