date,open,high,low,close,volume
2015-08-03,6.14,6.14,5.65,5.7,313220
2015-08-04,5.7,5.75,5.3,5.3,9220
2015-08-05,5.3,5.45,5.25,5.45,19420
2015-08-06,5.3,5.3,5.1,5.1,23650
2015-08-07,4.75,5.1,4.75,4.75,23890
2015-08-10,4.75,5.05,4.75,5.05,11530
2015-08-11,5.1,5.3,4.8,4.8,22830
2015-08-12,4.81,4.9,4.66,4.76,25000
2015-08-13,4.76,4.85,4.55,4.84,14720
2015-08-14,4.71,4.84,4.69,4.83,3570
2015-08-17,4.62,4.81,4.62,4.79,49820
2015-08-18,4.75,4.77,4.72,4.76,47070
2015-08-19,4.76,4.84,4.75,4.79,25460
2015-08-20,4.81,4.85,4.68,4.85,102480
2015-08-21,4.85,4.94,4.77,4.92,104370
2015-08-24,4.82,4.82,4.74,4.82,48760
2015-08-25,4.87,4.87,4.56,4.72,75340
2015-08-26,4.78,4.78,4.56,4.73,105380
2015-08-27,4.73,4.75,4.64,4.64,20510
2015-08-28,4.75,4.75,4.59,4.6,49470
2015-08-31,4.67,4.67,4.56,4.61,63050
2015-09-01,4.66,4.68,4.58,4.61,64670
2015-09-03,4.63,4.63,4.52,4.59,105250
2015-09-04,4.62,4.62,4.52,4.52,16340
2015-09-07,4.53,4.53,4.46,4.52,82270
2015-09-08,4.49,4.51,4.46,4.49,57180
2015-09-09,4.51,4.51,4.45,4.45,59660
2015-09-10,4.46,4.46,4.44,4.45,60240
2015-09-11,4.45,4.46,4.44,4.45,17410
2015-09-14,4.45,4.55,4.44,4.45,69820
2015-09-15,4.45,4.45,4.26,4.44,12800
2015-09-16,4.4,4.45,4.39,4.41,71540
2015-09-17,4.41,4.59,4.41,4.55,43750
2015-09-18,4.55,4.66,4.55,4.59,44790
2015-09-21,4.56,4.63,4.53,4.58,41170
2015-09-22,4.58,4.64,4.56,4.64,78730
2015-09-23,4.64,4.64,4.6,4.61,6260
2015-09-24,4.64,4.64,4.45,4.59,47390
2015-09-25,4.59,4.59,4.56,4.58,30020
2015-09-28,4.57,4.57,4.55,4.56,50280
2015-09-29,4.56,4.56,4.48,4.56,47480
2015-09-30,4.64,4.64,4.56,4.63,25130
2015-10-01,4.64,4.71,4.62,4.67,34670
2015-10-02,4.71,4.95,4.71,4.91,153920
2015-10-05,4.91,5.1,4.9,5,77660
2015-10-06,5,5.2,4.95,5,102720
2015-10-07,4.95,5.1,4.87,4.89,49580
2015-10-08,4.94,5,4.92,4.95,92140
2015-10-09,5.06,5.26,4.99,5.1,80930
2015-10-12,5.24,5.24,4.84,4.84,89850
2015-10-13,4.82,5.06,4.77,5.06,100500
2015-10-14,5.11,5.11,4.99,5.03,84390
2015-10-15,4.84,5.06,4.73,4.85,61910
2015-10-16,4.63,4.93,4.63,4.85,94770
2015-10-19,4.85,4.85,4.6,4.72,75400
2015-10-20,4.6,4.78,4.6,4.76,78030
2015-10-21,4.69,4.69,4.47,4.65,41820
2015-10-22,4.65,4.65,4.47,4.51,80090
2015-10-23,4.51,4.51,4.22,4.51,112570
2015-10-26,4.51,4.77,4.51,4.72,107010
2015-10-27,4.73,4.76,4.64,4.76,86810
2015-10-28,4.73,4.76,4.53,4.76,75340
2015-10-29,4.78,4.89,4.76,4.89,43620
2015-10-30,4.98,5.22,4.94,5.05,103510
2015-11-02,5.13,5.13,4.93,4.93,31060
2015-11-03,4.95,5.05,4.86,5.03,102100
2015-11-04,4.99,4.99,4.89,4.93,57600
2015-11-05,4.9,4.92,4.8,4.9,24620
2015-11-06,4.8,4.9,4.8,4.9,4510
2015-11-09,4.93,4.93,4.78,4.9,12130
2015-11-10,4.92,4.92,4.78,4.89,8620
2015-11-11,4.8,4.8,4.6,4.6,24670
2015-11-12,4.73,4.78,4.6,4.72,39100
2015-11-13,4.67,4.7,4.6,4.7,55140
2015-11-16,4.72,4.72,4.69,4.7,20400
2015-11-17,4.6,4.68,4.53,4.6,62420
2015-11-18,4.69,4.69,4.6,4.67,83390
2015-11-19,4.6,4.6,4.53,4.53,60970
2015-11-20,4.53,4.53,4.34,4.34,59710
2015-11-23,4.46,4.46,4.34,4.39,53810
2015-11-24,4.59,4.59,4.28,4.38,16280
2015-11-25,4.38,4.4,4.22,4.27,8900
2015-11-26,4.36,4.36,4.07,4.31,7030
2015-11-27,4.28,4.34,4.14,4.28,29260
2015-11-30,4.23,4.47,4.23,4.46,71600
2015-12-01,4.4,4.4,4.36,4.36,4980
2015-12-02,4.34,4.35,4.31,4.32,32520
2015-12-03,4.28,4.28,4.27,4.27,40900
2015-12-04,4.24,4.26,4.24,4.26,5300
2015-12-07,4.46,4.51,4.38,4.38,5890
2015-12-08,4.38,4.38,4.34,4.36,170
2015-12-09,4.36,4.4,4.31,4.34,60510
2015-12-10,4.47,4.47,4.28,4.3,95800
2015-12-11,4.28,4.34,4.21,4.3,79560
2015-12-14,4.27,4.27,4.07,4.21,20020
2015-12-15,4.21,4.27,4.21,4.26,5590
2015-12-16,4.26,4.34,4.1,4.34,33930
2015-12-17,4.34,4.46,4.34,4.34,39010
