date,open,high,low,close,volume
2018-04-26,33.11,33.11,30.91,33.11,948210
2018-04-27,35.43,35.43,33.89,35.43,2520730
2018-05-02,37.09,37.09,36.76,37.09,657340
2018-05-03,34.5,36.98,34.5,34.66,261780
2018-05-04,32.45,34,32.45,32.89,57020
2018-05-07,34.17,34.17,30.95,33.55,67180
2018-05-08,34.22,34.22,32.89,33.11,59090
2018-05-09,33.11,33.89,32.89,33.64,96890
2018-05-10,34,34.17,33.66,34.17,89910
2018-05-11,34.44,34.55,33.8,33.8,23700
2018-05-14,33.8,35.21,33.22,33.22,40720
2018-05-15,34.22,35.3,33.33,34.66,82190
2018-05-16,35.32,35.32,34.66,34.66,113000
2018-05-17,35.32,35.32,34.88,35.21,40650
2018-05-18,35.21,35.32,34.92,35.21,35230
2018-05-21,35.3,35.3,34.44,34.46,58530
2018-05-22,35.32,35.98,34.46,34.46,188830
2018-05-23,34.11,35.32,34.11,34.66,148490
2018-05-24,37.08,37.08,34.9,35.13,186210
2018-05-25,35.13,35.32,35.13,35.13,185010
2018-05-28,35.13,35.13,33.96,34.26,31840
2018-05-29,34.53,34.53,32.65,34.15,48230
2018-05-30,34.15,34.15,32.65,32.65,89010
2018-05-31,32.65,33.96,32.65,33.93,30530
2018-06-01,33.93,33.93,33.59,33.89,37140
2018-06-04,33.89,33.89,33.21,33.4,36140
2018-06-05,33.4,33.78,33.4,33.44,41780
2018-06-06,33.44,33.51,33.4,33.51,14560
2018-06-07,33.78,34.15,33.51,33.78,120650
2018-06-08,33.78,33.78,33.4,33.74,31310
2018-06-11,33.78,33.78,33.7,33.78,43460
2018-06-12,33.81,33.81,33.03,33.4,31120
2018-06-13,33.21,34.04,33.21,33.78,92830
2018-06-14,34.15,34.15,32.65,32.65,18400
2018-06-15,33.4,33.4,32.69,32.69,1690
2018-06-18,32.58,32.69,30.81,32.69,10520
2018-06-19,32.28,32.28,30.44,30.44,59070
2018-06-20,28.34,30.96,28.34,30.96,44480
2018-06-21,31.34,31.34,29.99,30.02,65370
2018-06-22,27.96,30.4,27.96,29.65,20150
2018-06-25,29.27,30.32,29.09,29.72,51350
2018-06-26,29.99,29.99,28.15,29.65,27380
2018-06-27,29.27,30.4,29.27,30.21,88550
2018-06-28,30.21,31.15,30.02,30.21,109760
2018-06-29,30.21,31.15,29.84,30.4,54370
2018-07-02,30.59,30.59,28.52,29.27,10350
2018-07-03,30.02,30.02,29.09,29.27,16480
2018-07-04,27.25,29.27,27.25,29.27,23410
2018-07-05,28.15,28.9,27.77,27.77,680
2018-07-06,27.02,27.02,26.27,27.02,7600
2018-07-09,25.18,27.4,25.18,25.9,1500
2018-07-10,26.65,26.65,26.57,26.65,62420
2018-07-11,26.83,27.4,26.65,27.4,44430
2018-07-12,27.02,27.7,27.02,27.4,21480
2018-07-13,27.77,29.27,27.4,29.27,13610
2018-07-16,29.31,29.31,28.15,29.27,940
2018-07-17,28.15,28.15,28.15,28.15,750
2018-07-18,26.31,28.9,26.31,28.9,7960
2018-07-19,28.9,29.57,27.02,27.02,23540
2018-07-20,27.21,27.77,27.21,27.77,10370
2018-07-23,27.77,28.15,27.77,27.77,14610
2018-07-24,27.32,27.58,27.32,27.58,4080
2018-07-25,27.58,27.77,27.58,27.58,5600
2018-07-26,27.77,27.77,27.4,27.77,9830
2018-07-27,26.27,29.27,26.27,27.73,25420
2018-07-30,27.73,29.27,27.73,28.15,25240
2018-07-31,26.31,28.15,26.31,28.07,15950
2018-08-01,27.4,28.07,27.02,27.4,2430
2018-08-02,27.77,27.77,27.02,27.02,1420
2018-08-03,27.36,27.36,26.57,26.57,5000
2018-08-06,26.38,26.65,24.81,26.65,37050
2018-08-07,25.9,27.7,25.52,26.65,23730
2018-08-08,25.52,27.02,25.52,27.02,7530
2018-08-09,26.87,27.02,26.87,27.02,15530
2018-08-10,26.65,27.02,26.65,27.02,860
2018-08-13,27.02,27.17,27.02,27.06,8960
2018-08-14,27.02,27.1,27.02,27.06,4290
2018-08-15,28.86,28.86,27.4,27.77,18660
2018-08-16,28.15,28.52,27.43,27.77,6470
2018-08-17,26.35,27.77,26.35,27.77,9180
2018-08-20,26.72,27.62,26.72,27.62,260
2018-08-21,27.62,28.52,26.65,28.52,28170
2018-08-22,27.77,28.9,27.02,28.9,17480
2018-08-23,28.9,28.9,27.4,28.9,27060
2018-08-24,27.77,28.71,27.77,27.77,4430
2018-08-27,28.15,28.15,28,28.03,21140
2018-08-28,28.03,28.15,27.77,28.15,24020
2018-08-29,30.02,30.02,28.03,28.49,23490
2018-08-30,28.49,28.52,27.77,28.52,47390
2018-08-31,28.52,28.67,27.96,28.67,8680
2018-09-04,28.52,28.67,28.15,28.67,5360
2018-09-05,28.67,28.67,28.18,28.67,9090
2018-09-06,28.52,28.52,28.15,28.52,21550
2018-09-07,28.52,28.52,27.96,28.49,15540
2018-09-10,28.15,28.15,27.4,27.77,4200
2018-09-11,27.77,28.15,27.77,28.15,27520
2018-09-12,27.43,27.77,27.43,27.77,320
2018-09-13,28.15,28.34,27.96,28.15,19000
2018-09-14,28.34,28.34,28.15,28.15,5580
2018-09-17,28.15,28.15,28.15,28.15,10
2018-09-18,28.15,28.15,27.43,28,14040
2018-09-19,27.06,28.34,27.06,27.96,9430
2018-09-20,27.92,28.15,27.92,28,4770
2018-09-21,28.11,28.3,28,28.15,22400
2018-09-24,28.15,28.18,28.15,28.15,13710
2018-09-25,28.3,28.56,28.11,28.49,5320
2018-09-26,28.49,28.49,28.15,28.15,430
2018-09-27,28.49,28.49,27.96,27.96,1740
2018-09-28,28.15,28.64,28.15,28.56,39560
2018-10-01,29.24,29.24,28.15,28.52,7800
2018-10-02,28.52,28.52,27.96,28.49,5920
2018-10-03,28.15,28.34,27.96,28.34,32660
2018-10-04,28.15,29.24,28.15,28.52,19150
2018-10-05,28.52,28.52,27.77,27.77,7160
2018-10-08,28.6,28.6,27.81,27.81,630
2018-10-09,27.77,28.15,27.77,28.15,6540
2018-10-10,28.45,28.45,26.53,28.37,9980
2018-10-11,28.49,28.49,26.68,27.4,11320
2018-10-12,26.65,27.77,26.65,27.77,2920
2018-10-15,27.02,27.1,26.91,26.91,2940
