date,open,high,low,close,volume
2020-10-09,6.67,6.67,4.77,5.65,2932700
2020-10-12,5.93,5.93,5.54,5.58,535100
2020-10-13,5.54,5.65,5.51,5.65,545000
2020-10-14,4.73,5.33,4.73,5.29,810900
2020-10-15,4.84,5.29,4.59,5.29,560900
2020-10-16,5.22,5.4,5.12,5.37,303900
2020-10-19,5.26,5.33,5.22,5.29,421400
2020-10-20,5.29,5.29,5.22,5.22,196100
2020-10-21,5.22,5.65,5.22,5.65,1277700
2020-10-22,5.47,5.61,5.4,5.51,117900
2020-10-23,5.51,5.51,5.37,5.37,174600
2020-10-26,5.37,5.37,5.29,5.37,204700
2020-10-27,5.33,5.51,5.29,5.29,141900
2020-10-28,5.26,5.33,5.12,5.19,293100
2020-10-29,5.26,5.26,5.19,5.22,106900
2020-10-30,5.26,5.26,4.62,5.26,75300
2020-11-02,5.26,5.44,5.26,5.29,128100
2020-11-03,5.29,5.29,5.05,5.29,50900
2020-11-04,5.26,5.29,5.22,5.26,44000
2020-11-05,5.26,5.26,5.22,5.22,52400
2020-11-06,5.26,5.26,5.12,5.22,201900
2020-11-09,5.12,5.19,5.12,5.15,46500
2020-11-10,5.22,5.22,5.15,5.15,71400
2020-11-11,5.12,5.19,5.12,5.15,60900
2020-11-12,5.12,5.19,4.98,5.08,83900
2020-11-13,5.12,5.19,5.01,5.05,142300
2020-11-16,5.05,5.05,4.91,4.94,191900
2020-11-17,4.94,4.98,4.91,4.94,173700
2020-11-18,4.94,5.19,4.94,4.94,163500
2020-11-19,5.01,5.01,4.91,4.94,77700
2020-11-20,4.91,4.98,4.84,4.94,117200
2020-11-23,4.94,4.94,4.91,4.94,137700
2020-11-24,4.94,4.94,4.91,4.94,49100
2020-11-25,4.91,4.91,4.87,4.91,140800
2020-11-26,4.91,4.91,4.87,4.91,59100
2020-11-27,4.8,4.91,4.59,4.91,238000
2020-11-30,4.59,4.91,4.59,4.87,61500
2020-12-01,4.87,4.87,4.73,4.84,102200
2020-12-02,4.84,4.87,4.73,4.8,77200
2020-12-03,4.84,4.84,4.8,4.8,151300
2020-12-04,4.8,4.84,4.77,4.8,95200
2020-12-07,4.77,4.91,4.69,4.91,358300
2020-12-08,4.87,5.05,4.8,5.01,212500
2020-12-09,5.12,5.44,5.12,5.4,416000
2020-12-10,5.4,5.44,5.29,5.29,179000
2020-12-11,5.26,5.26,5.08,5.19,171700
2020-12-14,5.22,5.26,5.15,5.19,118700
2020-12-15,5.22,5.22,5.15,5.19,71300
2020-12-16,5.19,5.26,5.15,5.19,149100
2020-12-17,5.15,5.22,5.12,5.12,78700
2020-12-18,5.12,5.19,5.12,5.15,86100
2020-12-21,5.15,5.19,5.12,5.19,188500
2020-12-22,5.15,5.37,5.01,5.33,334800
2020-12-23,5.37,5.47,5.37,5.44,283300
2020-12-24,5.44,5.54,5.15,5.29,113000
2020-12-25,5.37,5.37,5.22,5.33,109100
2020-12-28,5.29,5.4,5.22,5.26,152300
2020-12-29,5.26,5.26,5.19,5.22,89200
2020-12-30,5.22,5.29,5.19,5.22,78400
2020-12-31,5.22,5.26,5.22,5.22,127100
2021-01-04,5.22,5.26,5.19,5.22,167300
2021-01-05,5.22,5.37,5.22,5.33,317200
2021-01-06,5.33,5.51,5.29,5.44,356700
2021-01-07,5.4,5.54,5.37,5.54,321200
2021-01-08,5.54,5.72,5.37,5.68,473700
2021-01-11,5.65,5.86,5.61,5.82,363300
2021-01-12,5.82,5.82,5.65,5.75,189500
2021-01-13,5.72,5.75,5.58,5.68,340000
2021-01-14,5.65,5.65,5.58,5.61,114200
2021-01-15,5.61,5.68,5.54,5.68,150800
2021-01-18,5.68,5.68,5.58,5.65,226100
2021-01-19,5.65,5.79,5.12,5.44,268500
2021-01-20,5.47,5.47,5.01,5.37,126300
2021-01-21,5.37,5.47,5.29,5.4,74600
2021-01-22,5.47,5.47,5.33,5.33,95500
2021-01-25,5.37,5.37,5.22,5.22,148900
2021-01-26,5.19,5.26,5.08,5.15,124600
2021-01-27,5.12,5.12,4.87,4.94,83400
2021-01-28,4.87,4.87,4.24,4.24,400800
2021-01-29,4.24,4.91,4.09,4.48,127800
2021-02-01,4.66,4.69,4.52,4.55,27900
2021-02-02,4.55,4.66,4.31,4.55,98200
2021-02-03,4.77,4.91,4.66,4.91,38000
2021-02-04,4.98,5.01,4.84,4.87,21000
2021-02-05,4.87,5.12,4.87,4.91,14800
2021-02-08,4.91,4.91,4.59,4.77,55800
2021-02-09,4.59,4.91,4.59,4.91,12600
2021-02-17,4.91,5.01,4.91,4.91,38300
2021-02-18,4.94,5.12,4.94,4.98,79900
2021-02-19,5.12,5.22,5.08,5.12,61200
2021-02-22,5.15,5.19,5.05,5.15,38800
2021-02-23,5.15,5.19,5.05,5.08,37300
2021-02-24,5.12,5.12,5.01,5.01,35000
2021-02-25,5.05,5.05,4.87,5.05,71800
2021-02-26,4.87,4.94,4.87,4.94,11800
2021-03-01,4.94,5.05,4.94,5.01,79500
2021-03-02,5.05,5.05,4.94,5.01,46100
2021-03-03,5.01,5.05,4.94,4.98,82300
2021-03-04,5.01,5.08,4.94,4.98,118000
2021-03-05,5.01,5.05,4.98,5.05,63300
2021-03-08,5.08,5.12,5.05,5.12,104500
2021-03-09,5.12,5.29,5.05,5.22,295500
2021-03-10,5.22,5.37,5.19,5.37,131600
2021-03-11,5.4,5.44,5.26,5.29,120300
2021-03-12,5.29,5.33,5.19,5.26,91300
2021-03-15,5.29,5.4,5.29,5.33,172000
2021-03-16,5.33,5.47,5.33,5.44,255800
2021-03-17,5.54,5.54,5.47,5.51,198700
2021-03-18,5.51,5.54,5.44,5.47,167400
2021-03-19,5.47,5.47,5.4,5.44,149600
2021-03-22,5.4,5.47,5.29,5.33,180300
2021-03-23,5.37,5.37,5.29,5.29,100100
2021-03-24,5.29,5.29,5.05,5.19,152400
2021-03-25,5.19,5.22,5.12,5.15,59300
2021-03-26,5.12,5.15,4.98,5.12,82100
2021-03-29,5.08,5.22,5.08,5.22,51100
2021-03-30,5.22,5.22,5.12,5.19,175300
2021-03-31,5.22,5.29,5.22,5.26,67800
2021-04-01,5.26,5.33,5.22,5.33,172600
2021-04-02,5.33,5.65,5.33,5.54,740900
2021-04-05,5.58,5.82,5.58,5.75,720600
2021-04-06,5.75,5.79,5.68,5.72,246700
2021-04-07,5.72,6.11,5.61,5.93,774500
2021-04-08,5.93,6.35,5.93,6.07,391100
2021-04-09,6.18,6.18,5.93,5.97,264900
2021-04-12,6.07,6.53,6,6.39,959300
2021-04-13,6.35,6.6,6.18,6.39,601100
2021-04-14,6.35,6.39,6.18,6.39,278200
2021-04-15,6.32,6.35,6.14,6.25,296400
2021-04-16,6.28,6.28,5.82,6,401800
2021-04-19,6.04,6.11,5.79,6.07,193700
2021-04-20,6.07,6.07,5.89,5.93,172100
2021-04-22,6.21,6.21,5.65,5.72,439600
2021-04-23,5.72,5.89,5.54,5.86,229300
2021-04-26,5.86,5.86,5.72,5.79,185400
2021-04-27,5.82,5.86,5.72,5.82,125000
2021-04-28,5.82,5.89,5.79,5.89,124500
2021-04-29,5.86,5.97,5.86,5.97,267600
2021-05-04,5.93,5.93,5.65,5.82,201500
2021-05-05,5.82,5.97,5.82,5.89,384200
2021-05-06,6,6,5.89,5.93,260900
2021-05-07,5.93,5.93,5.82,5.89,172400
2021-05-10,5.86,6.04,5.75,6,523800
2021-05-11,6.07,6.25,6.07,6.21,397200
2021-05-12,6.21,6.21,6.07,6.18,180000
2021-05-13,6.14,6.21,6.11,6.18,241900
2021-05-14,6.18,6.32,6.18,6.28,375900
2021-05-17,6.28,6.99,6.28,6.71,1482200
2021-05-18,6.71,6.88,6.64,6.71,514100
2021-05-19,6.71,6.71,6.57,6.6,291600
2021-05-20,6.6,6.81,6.53,6.78,617000
2021-05-21,6.81,6.88,6.71,6.74,521200
2021-05-24,6.78,6.81,6.71,6.78,456400
2021-05-25,6.78,6.81,6.67,6.74,486400
2021-05-26,6.74,6.92,6.71,6.85,675200
2021-05-27,6.85,7.52,6.85,7.41,1497300
2021-05-28,7.41,8.22,7.34,8.12,1459000
2021-05-31,8.12,9.04,8.05,9.04,1326300
2021-06-01,9.07,9.53,8.61,8.65,1140300
2021-06-02,8.65,9.18,7.8,8.54,926500
2021-06-03,8.47,8.93,8.47,8.9,805700
2021-06-04,8.9,8.9,8.44,8.61,670400
2021-06-07,8.61,8.65,7.91,7.98,680700
2021-06-08,7.98,7.98,6.99,7.27,671900
2021-06-09,7.06,7.8,6.88,7.52,615000
2021-06-10,7.52,7.59,7.34,7.34,221500
2021-06-11,7.34,7.91,7.34,7.7,327100
2021-06-14,7.7,7.77,7.55,7.62,274700
2021-06-15,7.62,7.73,7.41,7.45,299500
2021-06-16,7.45,7.48,7.2,7.24,472000
2021-06-17,7.24,7.38,7.06,7.34,261900
2021-06-18,7.38,7.55,7.27,7.52,441600
2021-06-21,7.55,7.59,7.41,7.45,217000
2021-06-22,7.48,7.62,7.34,7.55,421400
2021-06-23,7.48,7.66,7.41,7.52,314100
2021-06-24,7.73,7.73,7.52,7.55,285200
2021-06-25,7.55,7.59,7.48,7.52,345300
2021-06-28,7.52,7.84,7.52,7.84,884400
2021-06-29,7.84,8.3,7.8,7.98,655000
2021-06-30,8.08,8.12,7.8,7.84,281500
2021-07-01,7.84,8.05,7.62,7.87,292700
2021-07-02,7.91,7.94,7.77,7.91,342200
2021-07-05,7.94,8.15,7.91,8.15,947200
2021-07-06,8.12,8.33,7.59,7.59,570400
2021-07-07,7.59,7.84,7.55,7.8,357400
2021-07-08,7.77,7.87,7.59,7.66,330600
2021-07-09,7.66,7.7,7.24,7.48,420100
2021-07-12,7.48,7.48,6.46,6.81,583300
2021-07-13,6.88,7.06,6.81,6.99,284900
2021-07-14,7.02,7.02,6.6,6.67,319300
2021-07-15,6.67,6.99,6.57,6.99,133800
2021-07-16,6.99,6.99,6.81,6.92,142500
2021-07-19,6.92,6.92,6.18,6.35,353500
2021-07-20,6.35,6.53,6.25,6.46,182300
2021-07-21,6.49,6.6,6.46,6.53,158800
2021-07-22,6.57,6.85,6.46,6.71,167100
2021-07-23,6.67,6.71,6.49,6.57,165300
2021-07-26,6.39,6.53,6.39,6.53,149100
2021-07-27,6.67,6.67,6.53,6.57,78600
2021-07-28,6.57,6.6,6.53,6.57,91800
2021-07-29,6.6,6.78,6.57,6.78,231100
2021-07-30,6.92,6.95,6.78,6.92,158000
2021-08-02,7.06,7.55,7.06,7.34,552400
2021-08-03,7.34,7.41,7.17,7.34,234800
2021-08-04,7.34,7.38,7.2,7.24,407700
2021-08-05,7.24,7.31,7.17,7.31,221600
2021-08-06,7.34,7.41,7.24,7.24,310400
2021-08-09,7.31,7.34,7.2,7.34,216400
2021-08-10,7.31,7.62,7.31,7.52,443500
2021-08-11,7.52,7.62,7.48,7.48,366500
2021-08-12,7.55,7.59,7.41,7.45,274000
2021-08-13,7.45,7.45,7.2,7.38,395600
2021-08-16,7.34,7.77,7.31,7.7,483200
2021-08-17,7.55,7.84,7.55,7.62,265600
2021-08-18,7.59,7.66,7.52,7.52,215400
2021-08-19,7.52,7.52,7.38,7.48,276600
2021-08-20,7.48,7.48,6.99,7.17,642300
2021-08-23,7.09,7.2,6.95,7.02,544700
2021-08-24,7.06,7.13,6.99,6.99,207900
2021-08-25,7.02,7.09,6.99,7.09,109800
2021-08-26,7.09,7.13,6.99,7.02,89700
2021-08-27,7.06,7.06,6.85,6.99,341500
2021-08-30,6.99,7.09,6.88,7.06,185800
2021-08-31,7.09,7.09,6.95,7.06,98400
2021-09-01,6.99,7.02,6.92,6.95,168600
2021-09-06,6.95,7.02,6.92,7.02,227600
2021-09-07,7.02,7.24,6.95,7.17,277800
2021-09-08,7.2,7.27,7.09,7.09,129200
2021-09-09,7.17,7.17,7.02,7.09,96300
2021-09-10,7.09,7.09,6.99,7.02,141100
2021-09-13,7.02,7.06,6.95,6.99,134500
2021-09-14,6.95,7.06,6.92,6.95,93100
2021-09-15,6.92,6.99,6.85,6.95,90300
2021-09-16,6.99,6.99,6.88,6.92,114300
2021-09-17,7.02,7.17,6.95,7.09,177800
2021-09-20,7.27,7.77,7.27,7.34,393600
2021-09-21,7.41,7.41,7.06,7.27,260900
2021-09-22,7.31,7.31,7.09,7.2,236700
2021-09-23,7.34,7.48,7.17,7.27,393300
2021-09-24,7.34,7.59,7.34,7.45,432800
2021-09-27,7.41,7.52,7.17,7.2,277300
2021-09-28,7.31,7.31,7.02,7.2,141500
2021-09-29,7.13,7.13,6.88,7.02,287800
2021-09-30,6.99,6.99,6.88,6.95,175100
2021-10-01,6.95,6.95,6.85,6.88,186900
2021-10-04,6.85,6.85,6.64,6.74,263900
2021-10-05,6.74,6.88,6.74,6.85,69700
2021-10-06,6.78,6.88,6.78,6.78,75300
2021-10-07,6.92,6.92,6.81,6.85,64200
2021-10-08,6.85,6.92,6.85,6.88,81700
2021-10-11,6.92,7.06,6.88,7.06,185200
2021-10-12,7.06,7.13,6.95,7.02,110800
2021-10-13,7.02,7.06,6.92,6.95,75400
2021-10-14,6.95,7.02,6.92,6.99,94800
2021-10-15,6.99,6.99,6.92,6.95,113300
2021-10-18,6.95,6.99,6.92,6.92,172900
2021-10-19,6.92,6.95,6.88,6.92,86900
2021-10-20,6.92,6.95,6.85,6.92,90900
2021-10-21,6.88,6.88,6.81,6.88,135400
2021-10-22,6.88,6.92,6.85,6.92,120200
2021-10-25,6.95,6.95,6.85,6.88,121900
2021-10-26,6.85,6.85,6.78,6.85,113200
2021-10-27,6.81,6.92,6.78,6.88,226700
2021-10-28,6.95,7.06,6.88,7.06,376600
2021-10-29,7.06,7.38,7.06,7.34,836900
2021-11-01,7.38,7.48,7.34,7.38,482800
2021-11-02,7.38,7.38,7.24,7.31,324900
2021-11-03,7.31,7.98,7.24,7.91,1683000
2021-11-04,7.91,8.15,7.73,7.84,666100
2021-11-05,7.91,7.91,7.66,7.7,334100
2021-11-08,7.7,8.05,7.62,7.94,822500
2021-11-09,7.94,8.08,7.84,7.94,749300
2021-11-10,7.94,8.05,7.73,7.8,490700
2021-11-11,7.84,7.84,7.41,7.59,569900
2021-11-12,7.59,7.7,7.45,7.62,277900
2021-11-15,7.77,7.94,7.66,7.77,436700
2021-11-16,7.8,7.8,7.62,7.73,436900
2021-11-17,7.73,7.91,7.62,7.87,377200
2021-11-18,7.84,8.3,7.8,8.3,1476300
2021-11-19,8.3,8.47,8.05,8.22,989700
2021-11-22,8.3,9.18,8.26,8.72,1216800
2021-11-23,8.72,8.75,8.33,8.47,535700
2021-11-24,8.47,9.11,8.37,8.93,1497400
2021-11-25,8.82,9.04,8.68,8.75,629400
2021-11-26,8.82,8.86,8.47,8.54,727400
2021-11-29,8.47,8.47,8.12,8.26,744800
2021-11-30,8.3,8.47,8.05,8.15,959700
2021-12-01,8.15,8.19,8.01,8.15,1062300
2021-12-02,8.34,9.13,8.34,8.46,458300
2021-12-03,8.66,8.66,8.14,8.22,394700
2021-12-06,8.22,8.22,7.74,7.9,301100
2021-12-07,7.9,8.06,7.78,7.94,304200
2021-12-08,7.94,8.14,7.9,7.98,190000
2021-12-09,7.94,8.02,7.86,8.02,166800
2021-12-10,7.94,8.1,7.9,7.94,193100
2021-12-13,7.98,7.98,7.86,7.9,320900
2021-12-14,7.94,7.94,7.82,7.86,201500
2021-12-15,7.9,7.98,7.78,7.9,270500
2021-12-16,7.9,7.94,7.78,7.82,208500
2021-12-17,7.82,7.9,7.74,7.82,249700
2021-12-20,7.86,7.86,7.66,7.74,244300
2021-12-21,7.74,7.74,7.54,7.66,365600
2021-12-22,7.62,7.62,7.42,7.5,414900
2021-12-23,7.54,7.7,7.39,7.39,315300
2021-12-24,7.46,7.74,7.39,7.66,197000
2021-12-27,7.7,7.74,7.58,7.62,150600
2021-12-28,7.62,7.7,7.54,7.62,202200
2021-12-29,7.66,7.74,7.58,7.66,188200
2021-12-30,7.66,7.78,7.66,7.7,166300
2021-12-31,7.7,7.9,7.7,7.82,310000
2022-01-04,7.82,8.02,7.82,7.86,272936
2022-01-05,7.9,7.9,7.78,7.86,1261501
2022-01-06,7.82,8.58,7.74,8.3,1268288
2022-01-07,8.34,8.5,8.22,8.3,352989
2022-01-10,8.26,8.3,7.98,7.98,224378
2022-01-11,7.98,7.98,7.78,7.86,401424
2022-01-12,7.86,8.02,7.66,8.02,324242
2022-01-13,8.14,8.42,7.98,8.1,665563
2022-01-14,8.1,8.1,7.66,7.98,262983
2022-01-17,7.94,7.98,7.66,7.66,204831
2022-01-18,7.66,7.66,7.42,7.54,360340
2022-01-19,7.54,7.62,7.46,7.46,146042
2022-01-20,7.46,7.54,7.42,7.54,346505
2022-01-21,7.54,7.78,7.54,7.62,137370
2022-01-24,7.66,7.66,7.46,7.5,228700
2022-01-25,7.46,7.62,7.39,7.62,241324
2022-01-26,7.74,7.9,7.54,7.86,424505
2022-01-27,7.82,7.9,7.74,7.78,119952
2022-01-28,7.82,7.9,7.78,7.86,115022
2022-02-07,7.9,8.02,7.86,7.98,215012
2022-02-08,7.98,8.06,7.9,8.02,290066
2022-02-09,8.02,8.18,8.02,8.1,524557
2022-02-10,8.1,8.18,8.06,8.18,701828
2022-02-11,8.18,8.26,8.14,8.22,606037
2022-02-14,8.22,8.22,7.98,8.06,473428
2022-02-15,8.06,8.06,7.94,8.02,243100
2022-02-16,8.02,8.1,7.98,8.06,213361
2022-02-17,8.06,8.22,8.06,8.14,214587
2022-02-18,8.14,8.26,8.06,8.22,575370
2022-02-21,8.18,8.22,8.1,8.18,151819
2022-02-22,8.14,8.14,8.02,8.14,215853
2022-02-23,8.1,8.26,8.1,8.22,331869
2022-02-24,8.22,8.26,7.98,8.1,496328
2022-02-25,8.06,8.26,8.02,8.18,310220
2022-02-28,8.18,8.18,8.1,8.1,140703
2022-03-01,8.06,8.14,8.06,8.1,213040
2022-03-02,8.06,8.1,7.94,7.98,457012
2022-03-03,7.98,8.06,7.98,8.06,144500
2022-03-04,8.06,8.1,7.98,7.98,224400
2022-03-07,7.98,8.02,7.9,7.94,225572
2022-03-08,7.9,7.9,7.82,7.82,391706
2022-03-09,7.82,7.94,7.78,7.82,186494
2022-03-10,7.9,7.9,7.82,7.86,155754
2022-03-11,7.82,7.86,7.74,7.78,322754
2022-03-14,7.78,7.82,7.62,7.7,137836
2022-03-15,7.7,7.74,7.54,7.66,113902
2022-03-16,7.7,7.74,7.66,7.7,610319
2022-03-17,7.7,7.78,7.7,7.74,870145
2022-03-18,7.74,7.86,7.74,7.82,138065
2022-03-21,7.78,7.82,7.74,7.74,826191
2022-03-22,7.74,7.82,7.74,7.78,339982
2022-03-23,7.78,7.86,7.78,7.78,478971
2022-03-24,7.82,7.82,7.74,7.82,192472
