date,open,high,low,close,volume
2021-01-28,7.16,8.16,7.16,7.16,7273800
2021-01-29,7.65,7.65,7.26,7.65,6203000
2021-02-01,8.12,8.12,7.65,7.69,6397000
2021-02-02,7.81,7.94,7.65,7.94,4126000
2021-02-03,8.04,8.35,7.96,8.35,5828400
2021-02-04,8.39,8.39,8.14,8.2,4028300
2021-02-05,8.24,8.35,8.14,8.14,3432700
2021-02-08,8.2,8.2,7.69,7.81,3452100
2021-02-09,7.83,8.16,7.77,8.16,2879100
2021-02-17,8.35,8.37,8.2,8.24,2533500
2021-02-18,8.27,8.29,8.2,8.2,2655700
2021-02-19,8.2,8.29,8.14,8.22,2430800
2021-02-22,8.24,8.51,8.24,8.33,5151400
2021-02-23,8.35,8.41,8.29,8.37,2263100
2021-02-24,8.37,8.39,8.08,8.16,3060000
2021-02-25,8.2,8.24,8.12,8.16,2291600
2021-02-26,7.98,8.16,7.98,8.16,2371800
2021-03-01,8.22,8.39,8.16,8.31,3508600
2021-03-02,8.37,8.37,8.2,8.24,3241400
2021-03-03,8.26,8.26,8.16,8.2,2344300
2021-03-04,8.2,8.22,8.04,8.06,2509400
2021-03-05,8,8.26,8,8.26,3108500
2021-03-08,8.35,8.39,8.29,8.37,4842400
2021-03-09,8.37,8.96,8.27,8.96,15494500
2021-03-10,9.17,9.48,9.13,9.43,8341400
2021-03-11,9.43,9.52,9.29,9.48,6384900
2021-03-12,9.41,9.64,9.33,9.64,7448700
2021-03-15,9.72,9.78,9.56,9.68,6493900
2021-03-16,9.66,9.66,9.45,9.64,3542700
2021-03-17,9.62,9.64,9.47,9.64,5211500
2021-03-18,9.76,9.86,9.64,9.68,4715700
2021-03-19,9.7,9.8,9.64,9.72,3745800
2021-03-22,9.76,9.91,9.72,9.84,4116600
2021-03-23,9.76,9.84,9.47,9.6,4736400
2021-03-24,9.45,9.6,9.27,9.31,3882000
2021-03-25,9.45,9.45,9.19,9.19,3602200
2021-03-26,9.17,9.25,8.78,9.19,6985600
2021-03-29,9.19,9.41,9.19,9.35,3597100
2021-03-30,9.39,9.43,9.31,9.41,3200900
